epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.702,1.1702,0.92487,1.00715,0.42544,0.86691,0.42806,0.28843,1.11829,2.23927,1.03621,0.000656716,0.000656716,0.000656716
2,249.08,1.15767,0.7931,1.02526,0.83662,0.90928,0.92612,0.62727,1.1352,0.89213,1.04992,0.00125788,0.00125788,0.00125788
3,361.402,1.162,0.7433,1.03242,0.84278,0.86019,0.91251,0.62956,1.1229,0.85685,1.0728,0.00179303,0.00179303,0.00179303
4,476.077,1.13801,0.77391,1.02533,0.86616,0.89968,0.94974,0.67872,1.07183,0.73184,1.02971,0.001703,0.001703,0.001703
5,589.322,1.12171,0.68609,1.01071,0.8882,0.90608,0.95724,0.66778,1.14554,0.73853,1.03225,0.001604,0.001604,0.001604
6,703.771,1.09963,0.66712,1.01025,0.90109,0.90928,0.96589,0.69624,1.02463,0.62728,1.00461,0.001505,0.001505,0.001505
7,815.942,1.06275,0.64398,0.99686,0.89549,0.90075,0.96134,0.69702,1.05992,0.62652,0.99959,0.001406,0.001406,0.001406
8,928.476,1.05501,0.63026,0.99247,0.89084,0.90715,0.95381,0.68941,1.06691,0.64355,1.01372,0.001307,0.001307,0.001307
9,1042.27,1.04682,0.59682,0.98557,0.89126,0.91035,0.95931,0.68517,1.05131,0.59389,1.00708,0.001208,0.001208,0.001208
10,1158.25,1.0317,0.59047,0.97736,0.89467,0.92316,0.9603,0.69668,1.01878,0.6097,0.99283,0.001109,0.001109,0.001109
11,1270.59,0.99922,0.55382,0.97847,0.88143,0.92034,0.96297,0.70836,1.01998,0.56783,1.00037,0.00101,0.00101,0.00101
12,1376.51,0.99788,0.54167,0.97352,0.90095,0.92423,0.96682,0.70824,1.01618,0.59103,0.98779,0.000911,0.000911,0.000911
13,1488.9,0.98578,0.531,0.96957,0.89299,0.92529,0.96897,0.69588,1.0697,0.58699,1.00542,0.000812,0.000812,0.000812
14,1602.41,0.99606,0.53016,0.96678,0.88079,0.92262,0.96296,0.70348,1.06099,0.55145,0.99287,0.000713,0.000713,0.000713
15,1712.57,0.96524,0.51522,0.95988,0.90454,0.92029,0.96952,0.7211,1.00886,0.52039,0.97966,0.000614,0.000614,0.000614
16,1823.32,0.94973,0.49558,0.95433,0.90982,0.92636,0.9737,0.72152,0.99342,0.51138,0.97539,0.000515,0.000515,0.000515
17,1932.46,0.93304,0.48856,0.94873,0.90303,0.91142,0.96775,0.71634,1.00728,0.52978,0.97882,0.000416,0.000416,0.000416
18,2042.18,0.91747,0.47448,0.94003,0.90439,0.93889,0.97542,0.72889,0.97718,0.50915,0.97116,0.000317,0.000317,0.000317
19,2152.22,0.90079,0.4533,0.9339,0.92012,0.92102,0.97047,0.73388,0.98384,0.50348,0.97067,0.000218,0.000218,0.000218
20,2261.57,0.89539,0.43947,0.9351,0.91006,0.92743,0.97612,0.73311,0.99,0.48709,0.96881,0.000119,0.000119,0.000119
